state,move,class
r2qkb1r/ppp2ppp/5n2/P3p3/1n1P2PP/2p1PP2/2b5/1RBQKBNR b Kkq - 0 10,c2d1,1
r2qkb1r/ppp2ppp/5n2/P3p3/1n1PP1PP/2p2P2/8/1RBbKBNR b Kkq - 0 11,d8d4,1
r3kb1r/ppp2ppp/5n2/P3p3/1n1qP1PP/2p2P2/1R6/2BbKBNR b Kkq - 1 12,c3b2,1
r3kb1r/ppp2ppp/5n2/P3p3/1n1qP1PP/5P2/1p1B4/3bKBNR b Kkq - 1 13,b4c2,1
r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/5P2/1pnB4/3K1BNR b kq - 0 14,b2b1q,1
r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/5P2/2nBK3/1q3BNR b kq - 1 15,b1b5,1
r3kb1r/ppp2ppp/5n2/Pq2p3/3qP1PP/5P2/2nB4/3K1BNR b kq - 3 16,c2e3,1
r3kb1r/ppp2ppp/5n2/Pq2p3/3qP1PP/4nP2/3B4/4KBNR b kq - 5 17,b5f1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b1c3,0
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,a1b1,0
rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3,a2a4,0
rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4,b2b4,0
rnbqkbnr/1pp1pppp/8/p7/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 0 5,d2d4,0
rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6,h2h3,0
rnbqkbnr/1pp2ppp/8/4p3/Pp1P4/2p4P/2P1PPP1/1RBQKBNR w Kkq - 0 7,g2g3,0
